,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
466,0,Coventry City,1,MF,0.92,2,0.00,98,0.00,20,0.00,0.00,0,0.00,33,0,1,0,sco SCO,0,0.00,0,0,3,Gavin Strachan
467,0,Tottenham Hotspur,1,MF,0.92,2,0.00,98,0.00,31,0.00,0.92,0,0.00,33,1,1,0,ms MSR,0,0.00,0,0,3,Ruel Fox
468,1,Newcastle United,1,DF,0.95,2,0.95,95,0.95,20,0.00,0.95,0,0.95,32,1,1,0,eng ENG,0,0.95,0,0,3,Andy Griffin
469,0,West Ham United,0,GK,0.00,0,0.00,90,0.00,27,0.00,0.00,0,0.00,90,0,1,0,au AUS,0,0.00,0,0,1,Saša Ilić
470,0,Bradford City,0,GK,0.00,0,0.00,90,0.00,40,0.00,0.00,0,0.00,90,0,1,0,wal WAL,0,0.00,0,0,1,Neville Southall
471,0,Watford,0,DF,0.00,0,0.00,90,0.00,32,0.00,0.00,0,0.00,90,0,1,0,eng ENG,0,0.00,0,0,1,Keith Millen
472,0,Wimbledon,0,GK,0.00,0,0.00,90,0.00,30,0.00,0.00,0,0.00,90,0,1,0,eng ENG,0,0.00,0,0,1,Paul Heald
473,0,Arsenal,0,DF,0.00,0,0.00,90,0.00,18,0.00,2.00,0,0.00,90,2,1,0,eng ENG,0,0.00,0,0,1,Ashley Cole
474,0,Middlesbrough,0,GK,0.00,0,0.00,90,0.00,29,0.00,0.00,0,0.00,90,0,1,0,eng ENG,0,0.00,0,0,1,Marlon Beresford
475,0,Chelsea,0,GK,0.00,0,0.00,90,0.00,25,0.00,0.00,0,0.00,90,0,1,0,it ITA,0,0.00,0,0,1,Carlo Cudicini
476,0,Sunderland,0,GK,0.00,0,0.00,90,0.00,28,0.00,0.00,0,0.00,90,0,1,0,wal WAL,0,0.00,0,0,1,Andy Marriott
477,0,Leicester City,0,DF,0.00,0,0.00,90,0.00,19,0.00,0.00,0,0.00,90,0,1,0,eng ENG,0,0.00,0,0,1,Tommy Goodwin
478,0,Arsenal,0,MF,0.00,0,0.00,90,0.00,19,0.00,0.00,0,0.00,90,0,1,0,eng ENG,0,0.00,0,0,1,Paolo Vernazza
479,0,Middlesbrough,2,MF,2.05,2,0.00,88,0.00,17,0.00,1.02,0,0.00,44,1,0,0,ar ARG,0,0.00,0,0,2,Carlos Marinelli
480,0,Newcastle United,0,DF,0.00,0,0.00,88,0.00,23,0.00,1.02,0,0.00,44,1,2,0,eng ENG,0,0.00,0,0,2,Carl Serrant
481,0,Everton,0,GK,0.00,1,0.00,84,0.00,20,0.00,0.00,0,0.00,84,0,0,0,eng ENG,0,0.00,0,0,1,Steve Simonsen
482,0,Manchester United,0,MF,0.00,2,0.00,82,0.00,20,0.00,2.20,0,0.00,27,2,1,0,eng ENG,0,0.00,0,0,3,Mark Wilson
483,0,Chelsea,1,MF,1.14,2,0.00,79,0.00,18,0.00,2.28,0,0.00,40,2,0,0,it ITA,0,0.00,0,0,2,Samuele Dalla Bona
484,0,Manchester United,1,DF,1.15,0,0.00,78,0.00,20,0.00,0.00,0,0.00,78,0,1,0,gi GIB,0,0.00,0,0,1,Danny Higginbotham
485,0,Southampton,1,DF,1.25,0,0.00,72,0.00,30,0.00,2.50,0,0.00,72,2,1,0,,0,0.00,0,0,1,Richard Dryden
486,0,Arsenal,0,DF,0.00,0,0.00,67,0.00,18,0.00,2.69,0,0.00,67,2,1,0,wal WAL,0,0.00,0,0,1,Rhys Weston
487,0,Watford,0,MF,0.00,2,0.00,65,0.00,22,0.00,2.77,0,0.00,33,2,0,0,be BEL,0,0.00,0,0,2,Adrian Bakalli
488,0,Everton,1,FW,1.38,3,0.00,65,0.00,28,1.38,4.15,1,0.00,22,3,0,0,eng ENG,0,0.00,0,0,3,Tommy Johnson
489,0,Leicester City,0,MF,0.00,3,0.00,64,0.00,24,0.00,0.00,0,0.00,21,0,0,0,eng ENG,0,0.00,0,0,3,Scott Thomas
490,0,Tottenham Hotspur,0,"FW,DF",0.00,2,0.00,64,0.00,19,0.00,1.41,0,0.00,32,1,0,0,ie IRL,0,0.00,0,0,2,Gary Doherty
491,2,Wimbledon,3,MF,4.29,2,2.86,63,2.86,26,1.43,2.86,1,2.86,32,2,0,0,eng ENG,0,2.86,0,0,2,Gareth Ainsworth
492,0,Tottenham Hotspur,0,MF,0.00,2,0.00,61,0.00,19,0.00,1.48,0,0.00,20,1,1,0,eng ENG,0,0.00,0,0,3,John Piercy
493,0,Bradford City,1,FW,1.61,2,0.00,56,0.00,26,0.00,1.61,0,0.00,28,1,0,0,fr FRA,0,0.00,0,0,2,Bruno Rodriguez
494,0,Newcastle United,0,DF,0.00,2,0.00,46,0.00,20,0.00,1.96,0,0.00,23,1,0,0,eng ENG,0,0.00,0,0,2,David Beharall
495,0,Middlesbrough,0,MF,0.00,1,0.00,45,0.00,20,0.00,2.00,0,0.00,45,1,0,0,eng ENG,0,0.00,0,0,1,Anthony Ormerod
496,0,Sheffield Wednesday,0,MF,0.00,1,0.00,45,0.00,27,2.00,8.00,1,0.00,45,4,0,0,sco SCO,0,0.00,0,0,1,Phil O'Donnell
497,0,Sunderland,0,MF,0.00,1,0.00,45,0.00,19,0.00,0.00,0,0.00,45,0,0,0,eng ENG,0,0.00,0,0,1,Chris Lumsdon
498,0,Everton,0,MF,0.00,1,0.00,44,0.00,19,0.00,4.09,0,0.00,44,2,0,0,eng ENG,0,0.00,0,0,1,Jamie Milligan
499,0,Southampton,1,MF,2.31,2,0.00,39,0.00,19,0.00,0.00,0,0.00,20,0,0,0,pt POR,0,0.00,0,0,2,Dani Rodrigues
500,0,West Ham United,0,DF,0.00,0,0.00,35,0.00,25,0.00,0.00,0,0.00,35,0,1,0,eng ENG,0,0.00,0,0,1,Ian Pearce
501,0,Sunderland,1,MF,3.00,1,0.00,30,0.00,23,0.00,0.00,0,0.00,30,0,0,0,dk DEN,0,0.00,0,0,1,Carsten Fredgaard
502,0,Liverpool,0,FW,0.00,1,0.00,29,0.00,33,0.00,0.00,0,0.00,29,0,0,0,de GER,0,0.00,0,0,1,Karl-Heinz Riedle
503,0,Coventry City,0,"MF,FW",0.00,3,0.00,28,0.00,16,0.00,0.00,0,0.00,9,0,0,0,eng ENG,0,0.00,0,0,3,Gary McSheffrey
504,0,Derby County,0,DF,0.00,2,0.00,27,0.00,19,0.00,0.00,0,0.00,14,0,0,0,eng ENG,0,0.00,0,0,2,Richard Jackson
505,0,Everton,0,MF,0.00,2,0.00,23,0.00,24,0.00,0.00,0,0.00,12,0,0,0,eng ENG,0,0.00,0,0,2,Tony Grant
506,0,Southampton,0,DF,0.00,1,0.00,19,0.00,22,0.00,0.00,0,0.00,19,0,0,0,pt POR,0,0.00,0,0,1,Marco Almeida
507,0,Bradford City,0,FW,0.00,1,0.00,18,0.00,18,0.00,0.00,0,0.00,18,0,0,0,eng ENG,0,0.00,0,0,1,Gareth Grant
508,0,Middlesbrough,0,MF,0.00,1,0.00,16,0.00,21,0.00,0.00,0,0.00,16,0,0,0,ie IRL,0,0.00,0,0,1,Micky Cummins
509,0,Leeds United,0,DF,0.00,1,0.00,16,0.00,26,0.00,0.00,0,0.00,16,0,0,0,at AUT,0,0.00,0,0,1,Martin Hiden
510,0,Manchester United,0,DF,0.00,2,0.00,15,0.00,22,0.00,0.00,0,0.00,8,0,0,0,eng ENG,0,0.00,0,0,2,Michael Clegg
511,0,Liverpool,0,FW,0.00,1,0.00,14,0.00,20,0.00,0.00,0,0.00,14,0,0,0,eng ENG,0,0.00,0,0,1,Jon Newby
512,0,Southampton,0,FW,0.00,1,0.00,13,0.00,19,0.00,6.92,0,0.00,13,1,0,0,eng ENG,0,0.00,0,0,1,Shayne Bradley
513,0,Chelsea,0,MF,0.00,1,0.00,13,0.00,19,0.00,0.00,0,0.00,13,0,0,0,eng ENG,0,0.00,0,0,1,Rob Wolleaston
514,0,Manchester United,0,DF,0.00,1,0.00,12,0.00,29,0.00,7.50,0,0.00,12,1,0,0,eng ENG,0,0.00,0,0,1,David May
515,0,Manchester United,0,DF,0.00,1,0.00,11,0.00,20,0.00,0.00,0,0.00,11,0,0,0,eng ENG,0,0.00,0,0,1,John Curtis
516,0,Wimbledon,0,FW,0.00,1,0.00,10,0.00,18,0.00,9.00,0,0.00,10,1,0,0,eng ENG,0,0.00,0,0,1,Wayne Gray
517,0,Coventry City,0,DF,0.00,1,0.00,7,0.00,23,0.00,12.86,0,0.00,7,1,0,0,eng ENG,0,0.00,0,0,1,Marcus Hall
518,0,Aston Villa,0,GK,0.00,1,0.00,6,0.00,22,0.00,0.00,0,0.00,6,0,0,0,eng ENG,0,0.00,0,0,1,Neil Cutler
519,0,Everton,0,DF,0.00,1,0.00,5,0.00,32,0.00,0.00,0,0.00,5,0,0,0,ie IRL,0,0.00,0,0,1,Terry Phelan
520,0,Aston Villa,0,MF,0.00,1,0.00,2,0.00,28,0.00,0.00,0,0.00,2,0,0,0,eng ENG,0,0.00,0,0,1,Mark Draper
521,0,Manchester United,0,GK,0.00,1,0.00,1,0.00,21,0.00,0.00,0,0.00,1,0,0,0,eng ENG,0,0.00,0,0,1,Nick Culkin
