,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
228,4,Manchester City,12,MF,0.70,16,0.47,"1,542",0.23,23,0.12,0.23,2,0.23,50,4,15,4,eng ENG,0,0.47,0,0,31,Adam Johnson
229,0,Manchester United,2,"MF,DF",0.12,2,0.12,"1,541",0.00,29,0.06,0.53,1,0.00,77,9,18,2,ie IRL,0,0.12,0,0,20,John O'Shea
230,1,Manchester United,5,MF,0.29,6,0.29,"1,537",0.06,35,0.53,1.87,9,0.06,70,32,16,4,eng ENG,0,0.29,0,0,22,Paul Scholes
231,1,Birmingham City,8,MF,0.47,5,0.12,"1,516",0.06,27,0.12,0.47,2,0.06,63,8,19,1,ie IRL,0,0.12,0,0,24,Keith Fahey
232,0,West Ham United,4,"MF,FW",0.24,3,0.12,"1,499",0.00,32,0.42,1.86,7,0.00,68,31,19,2,pt POR,0,0.12,0,0,22,Luís Boa Morte
233,1,Blackpool,8,"MF,FW",0.48,2,0.24,"1,499",0.06,22,0.00,0.90,0,0.06,65,15,21,3,fr FRA,0,0.24,0,0,23,Elliot Grandin
234,5,Blackburn Rovers,12,"MF,FW",0.72,7,0.36,"1,494",0.30,20,0.12,0.84,2,0.30,62,14,17,1,ca CAN,0,0.36,0,0,24,Junior Hoilett
235,13,Manchester United,23,FW,1.39,12,0.84,"1,492",0.78,22,0.30,1.39,5,0.78,55,23,15,1,mx MEX,0,0.84,0,0,27,Javier Hernández
236,5,Blackburn Rovers,12,FW,0.72,12,0.54,"1,490",0.30,32,0.12,1.51,2,0.30,60,25,13,4,gd GRN,0,0.54,0,0,25,Jason Roberts
237,4,Tottenham Hotspur,21,FW,1.28,6,0.37,"1,477",0.24,27,0.06,0.55,0,0.24,67,9,16,2,eng ENG,0,0.37,1,0,22,Jermain Defoe
238,3,Bolton Wanderers,16,"MF,FW",0.98,10,0.49,"1,463",0.18,31,0.00,0.43,0,0.18,52,7,18,5,bg BUL,0,0.49,0,0,28,Martin Petrov
239,0,Everton,1,DF,0.06,3,0.00,"1,452",0.00,29,0.19,0.93,3,0.00,73,15,17,0,eng ENG,0,0.00,0,0,20,Tony Hibbert
240,6,Newcastle United,20,"MF,FW",1.24,7,0.56,"1,451",0.37,30,0.00,0.99,0,0.37,58,16,18,3,dk DEN,0,0.56,0,0,25,Peter Løvenkrands
241,0,Everton,6,"DF,MF",0.38,10,0.06,"1,420",0.00,19,0.32,1.33,5,0.00,59,21,14,1,eng ENG,0,0.06,0,0,24,Jack Rodwell
242,1,West Bromwich Albion,10,"FW,MF",0.64,5,0.13,"1,414",0.06,23,0.13,0.70,2,0.06,67,11,16,1,sco SCO,0,0.13,0,0,21,Graham Dorrans
243,1,Manchester City,3,DF,0.19,2,0.06,"1,399",0.06,22,0.26,0.96,4,0.06,78,15,16,0,eng ENG,0,0.06,0,0,18,Micah Richards
244,9,Aston Villa,19,FW,1.22,0,0.64,"1,398",0.58,26,0.00,0.90,0,0.58,87,14,16,1,eng ENG,0,0.64,0,0,16,Darren Bent
245,10,Wolverhampton Wanderers,18,FW,1.16,14,0.71,"1,394",0.58,23,0.06,2.32,1,0.65,48,36,15,2,sco SCO,1,0.77,0,1,29,Steven Fletcher
246,0,Bolton Wanderers,3,DF,0.19,3,0.00,"1,392",0.00,28,0.13,0.91,2,0.00,82,14,14,0,wal WAL,0,0.00,0,0,17,Sam Ricketts
247,2,Blackburn Rovers,7,MF,0.45,10,0.13,"1,385",0.06,30,0.19,1.88,3,0.13,51,29,17,1,eng ENG,1,0.19,0,1,27,David Dunn
248,7,Everton,24,FW,1.58,8,0.53,"1,366",0.46,31,0.00,1.25,0,0.46,62,19,14,1,fr FRA,0,0.53,0,0,22,Louis Saha
249,0,Stoke City,5,MF,0.33,15,0.00,"1,358",0.00,26,0.13,1.86,2,0.00,47,28,14,0,ie IRL,0,0.00,0,0,29,Glenn Whelan
250,0,Arsenal,0,GK,0.00,0,0.00,"1,350",0.00,20,0.07,0.00,1,0.00,90,0,15,0,pl POL,0,0.00,0,0,15,Wojciech Szczęsny
251,0,Sunderland,0,GK,0.00,0,0.00,"1,350",0.00,27,0.00,0.00,0,0.00,90,0,15,0,sco SCO,0,0.00,0,0,15,Craig Gordon
252,0,West Ham United,0,DF,0.00,0,0.07,"1,348",0.00,29,0.00,0.40,0,0.00,90,6,15,1,eng ENG,0,0.07,0,0,15,Wayne Bridge
253,0,Fulham,0,"MF,DF",0.00,1,0.00,"1,343",0.00,29,0.40,0.94,6,0.00,84,14,15,0,gh GHA,0,0.00,0,0,16,John Paintsil
254,3,Wolverhampton Wanderers,8,"MF,FW",0.54,6,0.34,"1,340",0.20,28,0.34,1.81,5,0.20,67,27,14,2,ie IRL,0,0.34,0,0,20,Stephen Hunt
255,8,Everton,23,FW,1.56,18,0.61,"1,327",0.54,26,0.20,1.36,3,0.54,42,20,14,1,jm JAM,0,0.61,0,0,32,Jermaine Beckford
256,7,Wolverhampton Wanderers,19,FW,1.29,19,0.61,"1,324",0.48,24,0.00,2.92,0,0.48,44,43,11,2,eng ENG,0,0.61,0,0,30,Sylvan Ebanks-Blake
257,0,Tottenham Hotspur,4,MF,0.27,5,0.07,"1,322",0.00,27,0.14,0.82,2,0.00,70,12,14,1,eng ENG,0,0.07,0,0,19,Jermaine Jenas
258,5,Birmingham City,13,FW,0.89,12,0.55,"1,319",0.34,29,0.27,2.39,4,0.34,53,35,13,3,rs SRB,0,0.55,0,0,25,Nikola Žigić
259,0,Sunderland,1,DF,0.07,0,0.00,"1,305",0.00,26,0.28,1.03,4,0.00,87,15,15,0,,0,0.00,0,0,15,Michael Turner
260,1,West Ham United,11,DF,0.77,2,0.07,"1,293",0.07,24,0.21,1.88,3,0.07,81,27,14,0,ma MAR,0,0.07,0,0,16,Manuel da Costa
261,0,Blackburn Rovers,3,MF,0.21,0,0.00,"1,291",0.00,28,0.56,1.95,8,0.00,86,28,15,0,us USA,0,0.00,0,0,15,Jermaine Jones
262,1,West Bromwich Albion,2,"DF,MF",0.14,10,0.35,"1,287",0.07,29,0.21,1.40,3,0.07,56,20,13,4,ie IRL,0,0.35,0,0,23,Steven Reid
263,1,Blackburn Rovers,4,MF,0.28,8,0.14,"1,275",0.07,21,0.35,1.48,4,0.07,61,21,13,1,fr FRA,0,0.14,1,0,21,Steven Nzonzi
264,0,Chelsea,4,DF,0.29,7,0.00,"1,262",0.00,27,0.07,0.64,1,0.00,63,9,13,0,pt POR,0,0.00,0,0,20,José Bosingwa
265,1,Wolverhampton Wanderers,4,DF,0.29,1,0.07,"1,260",0.07,24,0.29,1.21,4,0.07,84,17,14,0,gp GLP,0,0.07,0,0,15,Ronald Zubar
266,0,Arsenal,0,GK,0.00,0,0.00,"1,260",0.00,25,0.00,0.00,0,0.00,90,0,14,0,pl POL,0,0.00,0,0,14,Łukasz Fabiański
267,0,Wolverhampton Wanderers,0,GK,0.00,0,0.00,"1,260",0.00,38,0.07,0.00,1,0.00,90,0,14,0,us USA,0,0.00,0,0,14,Marcus Hahnemann
268,0,Manchester City,4,DF,0.29,2,0.00,"1,238",0.00,21,0.07,1.74,1,0.00,77,24,14,0,de GER,0,0.00,0,0,16,Jérôme Boateng
