,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
403,,,,,eng,Anthony Gardner,DF,19.0,,,,,,,,,,,Tottenham Hotspur,0,0.0,11,0,0.0,0.0,68,5,3,0.0,0.17,0.0,8,0,0,0,544,1.82,1,0,2000
404,,,,,eng,Richard Naylor,"FW,DF",23.0,,,,,,,,,,,Ipswich Town,0,0.83,14,2,0.83,0.33,42,5,8,0.0,0.99,0.33,13,0,0,3,544,2.32,6,0,2000
405,,,,,eng,Michael Bridges,"FW,MF",21.0,,,,,,,,,,,Leeds United,0,0.5,9,0,0.5,0.0,77,6,1,0.0,1.67,0.0,7,0,0,3,539,1.5,10,0,2000
406,,,,,za,Quinton Fortune,MF,23.0,,,,,,,,,,,Manchester United,0,0.33,6,2,0.33,0.33,77,6,1,0.0,0.84,0.33,7,0,0,0,538,1.0,5,0,2000
407,,,,,eng,Ian Bishop,MF,35.0,,,,,,,,,,,Manchester City,0,0.0,3,0,0.0,0.0,53,3,7,0.0,0.17,0.0,10,0,0,0,525,0.51,1,0,2000
408,,,,,eng,Jon Harley,DF,20.0,,,,,,,,,,,Chelsea,0,0.17,8,0,0.17,0.0,52,6,4,0.17,0.35,0.0,10,1,0,1,518,1.39,2,0,2000
409,,,,,co,Juan Pablo Ángel,FW,24.0,,,,,,,,,,,Aston Villa,0,0.35,11,1,0.35,0.17,47,9,2,0.17,0.7,0.17,11,1,0,1,516,1.92,4,0,2000
410,,,,,eng,Adam Murray,MF,18.0,,,,,,,,,,,Derby County,0,0.0,10,0,0.0,0.0,36,4,10,0.18,0.35,0.0,14,1,0,0,508,1.77,2,0,2000
411,,,,,eng,Richard Edghill,DF,25.0,,,,,,,,,,,Manchester City,0,0.18,8,0,0.18,0.0,83,6,0,0.0,0.18,0.0,6,0,0,1,500,1.44,1,0,2000
412,,,,,fi,Hannu Tihinen,DF,24.0,,,,,,,,,,,West Ham United,0,0.0,6,0,0.0,0.0,61,5,3,0.18,0.37,0.0,8,1,0,0,490,1.1,2,0,2000
413,,,,,eng,Gary Croft,DF,26.0,,,,,,,,,,,Ipswich Town,0,0.0,5,0,0.0,0.0,61,6,2,0.19,0.19,0.0,8,1,0,0,484,0.93,1,0,2000
414,,,,,eng,Mark Summerbell,MF,23.0,,,,,,,,,,,Middlesbrough,0,0.19,10,1,0.19,0.19,69,5,2,0.75,0.56,0.19,7,4,0,0,483,1.86,3,0,2000
