,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
272,0,0.00,DF,8,0,Zat Knight,0.00,Aston Villa,0.00,88,13,0,0.00,0.24,0.00,13,0,0,eng ENG,0,"1,139",0.63,28,3,0
273,0,0.24,DF,12,1,Michael Dawson,0.24,Tottenham Hotspur,0.08,71,13,3,0.32,0.32,0.08,16,3,1,eng ENG,2,"1,133",0.95,24,4,0
274,0,0.16,MF,10,2,Grant Leadbitter,0.16,Sunderland,0.16,49,12,11,0.16,0.80,0.16,23,2,0,eng ENG,0,"1,124",0.80,22,10,0
275,0,0.40,FW,19,4,Yakubu Aiyegbeni,0.40,Everton,0.32,80,14,0,0.16,0.97,0.32,14,2,0,ng NGA,1,"1,119",1.53,25,12,1
276,0,0.00,DF,8,0,Gaël Givet,0.00,Blackburn Rovers,0.00,79,14,0,0.16,0.00,0.00,14,2,0,fr FRA,0,"1,110",0.65,26,0,0
277,0,0.00,MF,6,0,Adam Johnson,0.00,Middlesbrough,0.00,43,10,16,0.08,0.24,0.00,26,1,0,eng ENG,0,"1,109",0.49,21,3,0
278,0,0.00,DF,15,0,Branislav Ivanović,0.00,Chelsea,0.00,69,11,5,0.16,0.00,0.00,16,2,0,rs SRB,0,"1,101",1.23,24,0,0
279,0,0.16,"FW,MF",17,1,Nick Barmby,0.16,Hull City,0.08,52,13,8,0.16,0.25,0.08,21,2,0,eng ENG,1,"1,097",1.39,34,3,0
280,0,0.08,DF,10,1,Sami Hyypiä,0.08,Liverpool,0.08,68,12,4,0.08,0.49,0.08,16,1,0,fi FIN,0,"1,093",0.82,34,6,0
281,0,0.25,DF,8,2,Mikaël Silvestre,0.25,Arsenal,0.16,78,12,2,0.00,0.33,0.16,14,0,0,fr FRA,1,"1,092",0.66,30,4,0
282,0,0.08,"MF,DF,FW",20,1,Charles N'Zogbia,0.08,Wigan Athletic,0.08,83,13,0,0.08,0.67,0.08,13,1,0,fr FRA,0,"1,082",1.66,22,8,0
283,0,0.00,GK,0,0,Craig Gordon,0.00,Sunderland,0.00,90,12,0,0.00,0.00,0.00,12,0,0,sco SCO,0,"1,080",0.00,25,0,0
284,0,0.00,DF,13,0,Gary Neville,0.00,Manchester United,0.00,67,13,3,0.25,0.08,0.00,16,3,0,eng ENG,0,"1,074",1.09,33,1,0
285,0,0.34,FW,14,3,David Nugent,0.34,Portsmouth,0.26,66,13,3,0.09,0.94,0.26,16,1,0,eng ENG,1,"1,058",1.19,23,11,0
286,0,0.09,"DF,MF",33,1,Rafael,0.09,Manchester United,0.09,66,12,4,0.17,0.34,0.09,16,2,0,br BRA,0,"1,054",2.82,18,4,0
287,0,0.09,"DF,MF",11,1,Andrea Dossena,0.09,Liverpool,0.09,65,12,4,0.17,0.26,0.09,16,2,0,it ITA,0,"1,041",0.95,26,3,0
288,0,0.09,"DF,MF",22,0,Tony McMahon,0.09,Middlesbrough,0.00,80,13,0,0.26,0.35,0.00,13,3,0,eng ENG,1,"1,039",1.91,22,4,0
289,0,0.44,FW,17,3,Ishmael Miller,0.44,West Bromwich Albion,0.26,69,11,4,0.17,1.48,0.26,15,2,0,eng ENG,2,"1,033",1.48,21,17,0
290,0,0.26,"DF,MF",15,0,Geremi,0.26,Newcastle United,0.00,68,11,4,0.18,0.44,0.00,15,2,0,cm CMR,3,"1,023",1.32,29,5,0
291,0,0.27,MF,23,3,Steve Sidwell,0.27,Aston Villa,0.27,63,11,5,0.18,0.80,0.27,16,2,0,eng ENG,0,"1,014",2.04,25,9,0
292,0,0.00,DF,8,0,Noé Pamarot,0.00,Portsmouth,0.00,63,11,5,0.18,0.00,0.00,16,1,1,fr FRA,0,"1,005",0.72,29,0,0
293,0,0.09,"DF,MF",6,1,James Tomkins,0.09,West Ham United,0.09,84,11,1,0.09,0.18,0.09,12,0,1,eng ENG,0,"1,002",0.54,19,2,0
294,0,0.09,DF,8,1,Javier Garrido,0.09,Manchester City,0.09,77,11,2,0.09,0.18,0.09,13,1,0,es ESP,0,998,0.72,23,2,0
295,0,0.00,"MF,FW",7,0,Gareth Bale,0.00,Tottenham Hotspur,0.00,62,12,4,0.27,0.54,0.00,16,2,1,wal WAL,0,994,0.63,19,6,0
296,0,1.09,"FW,MF",13,7,Andrey Arshavin,1.09,Arsenal,0.63,83,12,0,0.18,1.54,0.63,12,2,0,ru RUS,5,993,1.18,27,17,0
